i,ParkingGeohash,AvgLatitude,AvgLongitude,AvgTimeToPark,AvgTotalGeohashes,TotalSearching
98,dpj5c68,40.04871,-82.9134,5.6881,7.4286,7
99,dpj5c5m,40.05258,-82.91707,5.5852,8.3333,9
100,dphupn2,40.1136,-83.01187,6.9472,9.6667,6
101,dphgr6f,39.96246,-82.99824,5.325,7.1667,6
102,dpj55hg,39.929140000000004,-82.83197,4.7438,9.25,8
103,dphgrc3,39.9539,-82.97791,6.6267,7.4,5
104,dphgrd0,39.958009999999994,-82.9901,6.2767,8.6,5
105,dphurf4,40.1339,-82.97665,5.78,8.0,5
106,dphgpqz,39.93979,-82.99148000000001,5.1271,9.5,8
107,dphgr34,39.95259,-82.99868000000001,3.8696,7.0,73
108,dpj5c5g,40.05529,-82.9202,4.0667,7.0,5
109,dphgr6x,39.96058,-82.99172,5.0563,9.75,8
110,dpj58ce,39.9992,-82.93065,4.8062,7.0,8
111,dpj5c5e,40.05389,-82.91985,5.9033,8.0,5
112,dphgr76,39.96481,-82.99849,5.8771,10.25,8
113,dpj55hm,39.92661,-82.82925,4.7604,8.875,8
114,dphgwzj,40.02879,-83.01571,1.3389,7.5556,9
115,dphunzn,40.11738,-83.01463000000001,3.4143,8.0,7
116,dphgrdg,39.961729999999996,-82.9861,4.5972,8.6667,6
117,dphgr4z,39.96195,-83.00219,7.75,8.5,6
118,dphgrm4,39.97463,-82.9979,3.9813,8.375,8
119,dphupn8,40.114709999999995,-83.01201999999999,3.5278,7.1667,6
120,dphgr7b,39.9679,-83.00086,4.9559,8.2353,17
121,dphfzk3,39.88237,-83.00010999999999,5.99,7.1,10
122,dphgkus,39.97225,-83.10523,2.9861,7.8333,6
123,dphgrkc,39.97279,-82.9998,9.8537,8.8889,9
124,dphgr7q,39.96433,-82.99249,5.1691,8.2552,96
125,dphg7y0,39.980109999999996,-83.15475,7.9806,13.1667,6
126,dphgqr2,39.986670000000004,-83.04484000000001,3.3,7.1429,7
