i,meter,numparking_tickets,lat,long,nearHash,HashDist
147,NT615,1.0,39.97104,-82.99199,dphgrkh,1.8534445283498453
148,NZ99,1.0,39.96564,-82.98499,dphgrdg,1.6273773814077315
149,P6,1.0,39.97508,-83.002014,dphgrjr,2.250826750335881
150,NK54,1.0,39.963074,-83.00069,dphgr70,0.9195513890477948
151,P8,1.0,39.975132,-83.00203,dphgrjr,2.256739006664188
152,P9,1.0,39.975159999999995,-83.00203,dphgrjr,2.259813924818501
153,S23,1.0,39.982494,-83.00488,dphgrnw,3.1034860568206213
154,S31,1.0,39.98251,-83.00515,dphgrnw,3.1095980081650016
155,NJ110,1.0,39.96403,-83.00186,dphgr5p,1.0488965872035547
156,SE513,1.0,39.954903,-83.00426,dphgr1k,0.5239978247454713
157,SG121,1.0,39.95664,-83.00324,dphgr3b,0.47182024473963147
158,NI667,1.0,39.97322,-83.00465,dphgrjn,2.095121246875932
159,NI663,1.0,39.973079999999996,-83.004654,dphgrht,2.0802318101401704
160,SG127,1.0,39.956364,-83.003136,dphgr3b,0.45267645989796756
161,NL212,1.0,39.965603,-83.00033,dphgr78,1.1889152011087838
162,UE307,1.0,39.99994,-83.006874,dphgx47,5.042176428351726
163,B106,1.0,39.951775,-82.9981,dphgr2f,0.36142390630960686
164,UE377,1.0,40.000774,-83.00774399999999,dphgx47,5.145113164848737
165,WA61,1.0,39.953255,-83.00034000000001,dphgr32,0.27295695858099317
166,WBB56,1.0,39.972355,-83.00373,dphgrhw,1.9822718860197608
167,WBB51,1.0,39.972237,-83.00362,dphgrhw,1.9672979055549493
168,WBB50,1.0,39.972347,-83.00348000000001,dphgrhw,1.9763607649752541
169,WBB3,1.0,39.961178000000004,-82.998795,dphgr69,0.6849967626045584
170,WBB103,1.0,39.972412,-83.00484499999999,dphgrht,2.013461393378286
171,WAA53,1.0,39.961178000000004,-82.998795,dphgr69,0.6849967626045584
172,WA63,1.0,39.95325,-83.00038,dphgr32,0.2757304764296362
173,WA5,1.0,39.953346,-82.999306,dphgr34,0.21227370327410844
174,WBB58,1.0,39.972359999999995,-83.00381,dphgrhw,1.9844710663246359
175,WA39,1.0,39.95329,-82.99994000000001,dphgr32,0.24748207413341425
176,WA37,1.0,39.95329,-82.99991,dphgr32,0.2458881179182717
177,WA25,1.0,39.953309999999995,-82.999664,dphgr31,0.23163555661411983
178,WA15,1.0,39.953327,-82.99949000000001,dphgr31,0.22194757342540405
179,WA13,1.0,39.95333,-82.99946,dphgr31,0.22033066809090265
180,V34,1.0,39.976784,-83.003815,dphgrjq,2.4637830728475243
181,V3,1.0,39.976624,-83.00368,dphgrjq,2.4441050370344373
182,WBB57,1.0,39.97224,-83.00376,dphgrhw,1.9705071366014892
183,WBB59,1.0,39.972248,-83.003815,dphgrhw,1.9725204191490056
184,UE379,1.0,40.00078,-83.00771,dphgx47,5.145308108659146
185,WE59,1.0,39.955917,-83.00076,dphgr3b,0.24536502374061717
186,WT110,1.0,39.966072,-83.003815,dphgr5x,1.3187535593816264
187,WN9,1.0,39.96205,-83.00119000000001,dphgr6b,0.8221417309120962
188,WN7,1.0,39.96206,-83.00111,dphgr6b,0.8210489413065795
189,WK58,1.0,39.96004,-83.00176,dphgr4x,0.6369091259392065
190,WK11,1.0,39.959990000000005,-83.00097,dphgr69,0.6018215498238246
191,WI105,1.0,39.958490000000005,-83.00211,dphgr63,0.5130765824426154
192,WH5,1.0,39.958040000000004,-83.000435,dphgr63,0.3879301091336991
193,WCC59,1.0,39.972805,-83.00431999999999,dphgrhw,2.043259131737834
194,WBB67,1.0,39.97225,-83.00405,dphgrhw,1.9777749855275655
195,WCC57,1.0,39.972805,-83.00424,dphgrhw,2.041500646584559
196,WCC53,1.0,39.972797,-83.004074,dphgrhw,2.0370598565496714
197,WC128,1.0,39.954536,-83.00220999999999,dphgr32,0.35292506102669724
198,WC109,1.0,39.95448,-83.001465,dphgr32,0.2914462374382616
199,WBB75,1.0,39.972263,-83.00424,dphgrhw,1.9833811839296889
200,WBB74,1.0,39.972378000000006,-83.00413,dphgrhw,1.9932648427839326
201,WBB71,1.0,39.972256,-83.00413499999999,dphgrhw,1.9802881587735248
202,V27,1.0,39.97675,-83.00403,dphgrjq,2.463774578490306
203,V23,1.0,39.97676,-83.00391,dphgrjq,2.462785233967707
204,V21,1.0,39.976772,-83.003845,dphgrjq,2.4629836648702628
205,UE532,1.0,40.004993,-83.00865,dphgx4e,5.61991130928828
206,UE628,1.0,39.995342,-83.00701,dphgwbz,4.539833338548313
207,UE626,1.0,39.995277,-83.00699,dphgwbz,4.532432167402396
208,UE618,1.0,39.99503,-83.00694,dphgwbz,4.50467871588959
209,UE610,1.0,39.994372999999996,-83.006805,dphgrpv,4.430828290184116
210,UE596,1.0,40.008377,-83.00924,dphgx4e,5.99888207046669
211,UE585,1.0,40.00724,-83.009125,dphgx4e,5.872681501346887
212,NI13,1.0,39.962643,-83.00264,dphgr5p,0.9289959782062797
213,UE467,1.0,40.003082,-83.00797,dphgx47,5.401219026563284
214,V11,1.0,39.9766,-83.00394,dphgrjq,2.4459021566965147
215,UE465,1.0,40.00309,-83.00803,dphgx47,5.402896296585804
216,UE461,1.0,40.00309,-83.0081,dphgx47,5.40383541407724
217,UE457,1.0,40.003098,-83.00818000000001,dphgx47,5.405793586716634
218,UE453,1.0,40.003098,-83.008255,dphgx47,5.406814673558235
